device,measurement,time,value
RFM,CIDCO,2026-09-23 11:35:57.746043+00:00,"RFM_0004,23/09/2026,17:05:50,1.02,-0.17,-9.78,12.25,41.56,20.56,0.00,-0.12,0.12,2118"
RFM,CIDCO,2026-09-23 11:36:00.305631+00:00,"RFM_0006,23/09/2026,17:05:51,0.41,-3.23,-9.15,-20.19,-18.75,0.50,-0.06,0.00,-0.06,575"
RFM,CIDCO,2026-09-23 11:36:02.865820+00:00,"RFM_0004,23/09/2026,17:05:50,1.02,-0.17,-9.78,12.25,41.56,20.56,0.00,-0.12,0.12,2118"
RFM,CIDCO,2026-09-23 11:36:05.728085+00:00,"RFM_0006,23/09/2026,17:05:51,0.41,-3.23,-9.15,-20.19,-18.75,0.50,-0.06,0.00,-0.06,575"
RFM,CIDCO,2026-09-23 11:36:08.396501+00:00,"RFM_0006,23/09/2026,17:05:51,0.41,-3.23,-9.15,-20.19,-18.75,0.50,-0.06,0.00,-0.06,575"
RFM,CIDCO,2026-09-23 11:36:11.158562+00:00,"RFM_0004,23/09/2026,17:06:00,1.03,-0.18,-9.69,12.25,41.88,21.06,0.38,-0.06,0.12,2119"
RFM,CIDCO,2026-09-23 11:36:13.817534+00:00,"RFM_0006,23/09/2026,17:06:01,0.42,-3.28,-9.21,-34.75,-31.75,-0.38,0.06,-0.12,-0.06,576"
RFM,CIDCO,2026-09-23 11:36:15.971696+00:00,"RFM_0006,23/09/2026,17:06:01,0.42,-3.28,-9.21,-34.75,-31.75,-0.38,0.06,-0.12,-0.06,576"
RFM,CIDCO,2026-09-23 11:36:16.377501+00:00,"RFM_0010,RTCERR,-1.22,-0.74,-9.68,29.25,16.25,2.38,0.56,0.25,0.00,14"
RFM,CIDCO,2026-09-23 11:36:17.706926+00:00,"RFM_0004,23/09/2026,17:06:00,1.03,-0.18,-9.69,12.25,41.88,21.06,0.38,-0.06,0.12,2119"
RFM,CIDCO,2026-09-23 11:36:18.728167+00:00,"RFM_0004,23/09/2026,17:06:00,1.03,-0.18,-9.69,12.25,41.88,21.06,0.38,-0.06,0.12,2119"
RFM,CIDCO,2026-09-23 11:36:21.726128+00:00,"RFM_0006,23/09/2026,17:06:01,0.42,-3.28,-9.21,-34.75,-31.75,-0.38,0.06,-0.12,-0.06,576"
RFM,CIDCO,2026-09-23 11:36:24.573933+00:00,"RFM_0006,23/09/2026,17:06:11,0.40,-3.28,-9.19,-34.38,-31.06,0.38,-0.06,-0.06,0.06,577"
RFM,CIDCO,2026-09-23 11:36:27.126674+00:00,"RFM_0010,RTCERR,-1.22,-0.74,-9.66,30.06,15.75,2.75,-0.62,-0.31,0.00,15"
RFM,CIDCO,2026-09-23 11:36:30.326371+00:00,"RFM_0004,23/09/2026,17:06:10,1.02,-0.16,-9.76,11.88,43.38,21.38,0.12,-0.12,0.06,2120"
RFM,CIDCO,2026-09-23 11:36:33.270631+00:00,"RFM_0006,23/09/2026,17:06:21,0.39,-3.28,-9.17,-34.00,-31.06,1.19,0.00,-0.06,0.00,578"
RFM,CIDCO,2026-09-23 11:36:35.943669+00:00,"RFM_0004,23/09/2026,17:06:10,1.02,-0.16,-9.76,11.88,43.38,21.38,0.12,-0.12,0.06,2120"
RFM,CIDCO,2026-09-23 11:36:38.496218+00:00,"RFM_0004,23/09/2026,17:06:20,1.03,-0.14,-9.64,13.69,43.00,20.88,-0.12,0.12,0.00,2121"
RFM,CIDCO,2026-09-23 11:36:41.057785+00:00,"RFM_0010,RTCERR,-1.22,-0.74,-9.73,30.19,16.56,1.75,0.31,0.00,-0.12,16"
RFM,CIDCO,2026-09-23 11:36:43.663080+00:00,"RFM_0004,23/09/2026,17:06:20,1.03,-0.14,-9.64,13.69,43.00,20.88,-0.12,0.12,0.00,2121"
RFM,CIDCO,2026-09-23 11:36:46.173581+00:00,"RFM_0004,23/09/2026,17:06:30,1.02,-0.18,-9.77,11.06,42.25,20.38,0.00,0.00,0.00,2122"
RFM,CIDCO,2026-09-23 11:36:48.736505+00:00,"RFM_0006,23/09/2026,17:06:31,0.42,-3.30,-9.18,-34.38,-31.06,1.56,0.00,-0.25,-0.06,579"
RFM,CIDCO,2026-09-23 11:36:51.192211+00:00,"RFM_0010,RTCERR,-1.24,-0.75,-9.66,29.69,16.19,2.38,0.56,0.31,0.25,17"
RFM,CIDCO,2026-09-23 11:36:53.751085+00:00,"RFM_0004,23/09/2026,17:06:40,1.03,-0.18,-9.74,12.56,43.06,20.25,-0.06,-0.12,0.00,2123"
RFM,CIDCO,2026-09-23 11:36:56.326567+00:00,"RFM_0006,23/09/2026,17:06:41,0.43,-3.30,-9.19,-34.38,-31.06,0.38,0.00,0.00,-0.06,580"
RFM,CIDCO,2026-09-23 11:36:58.771875+00:00,"RFM_0006,23/09/2026,17:06:41,0.43,-3.30,-9.19,-34.38,-31.06,0.38,0.00,0.00,-0.06,580"
RFM,CIDCO,2026-09-23 11:37:01.327605+00:00,"RFM_0010,RTCERR,-1.21,-0.74,-9.66,50.25,26.56,4.38,0.38,0.31,-0.19,18"
RFM,CIDCO,2026-09-23 11:37:03.921872+00:00,"RFM_0004,23/09/2026,17:06:50,1.02,-0.20,-9.76,11.88,42.00,19.88,-0.06,0.25,0.12,2124"
RFM,CIDCO,2026-09-23 11:37:06.663697+00:00,"RFM_0004,23/09/2026,17:06:50,1.02,-0.20,-9.76,11.88,42.00,19.88,-0.06,0.25,0.12,2124"
RFM,CIDCO,2026-09-23 11:37:09.217380+00:00,"RFM_0010,RTCERR,-1.21,-0.75,-9.60,30.38,15.75,2.06,0.81,0.62,0.00,19"
RFM,CIDCO,2026-09-23 11:37:11.777282+00:00,"RFM_0004,23/09/2026,17:07:00,1.02,-0.19,-9.73,11.88,43.00,20.75,0.00,-0.12,0.06,2125"
RFM,CIDCO,2026-09-23 11:37:14.250490+00:00,"RFM_0010,RTCERR,-1.25,-0.72,-9.71,29.38,15.06,1.75,0.38,0.06,-0.06,20"
RFM,CIDCO,2026-09-23 11:37:21.124131+00:00,"RFM_0004,23/09/2026,17:07:10,1.01,-0.19,-9.77,11.88,43.38,20.38,0.06,0.00,0.06,2126"
RFM,CIDCO,2026-09-23 11:37:21.501529+00:00,"RFM_0006,23/09/2026,17:06:51,0.40,-3.28,-9.20,-35.06,-31.38,1.19,0.06,0.06,0.00,581"
RFM,CIDCO,2026-09-23 11:37:23.686930+00:00,"RFM_0010,RTCERR,-1.22,-0.72,-9.67,31.25,15.56,2.69,-0.06,-0.12,-0.12,21"
RFM,CIDCO,2026-09-23 11:37:26.317643+00:00,"RFM_0004,23/09/2026,17:07:20,1.02,-0.19,-9.77,11.50,43.06,21.00,0.00,0.19,0.00,2127"
RFM,CIDCO,2026-09-23 11:37:28.887667+00:00,"RFM_0004,23/09/2026,17:07:20,1.02,-0.19,-9.77,11.50,43.06,21.00,0.00,0.19,0.00,2127"
RFM,CIDCO,2026-09-23 11:37:33.382117+00:00,"RFM_0010,RTCERR,-1.23,-0.72,-9.67,30.75,16.25,2.06,0.06,0.31,0.00,22"
RFM,CIDCO,2026-09-23 11:37:36.257169+00:00,"RFM_0004,23/09/2026,17:07:30,1.02,-0.17,-9.77,11.19,43.06,19.88,0.00,-0.12,-0.06,2128"
RFM,CIDCO,2026-09-23 11:37:39.116571+00:00,"RFM_0004,23/09/2026,17:07:30,1.02,-0.17,-9.77,11.19,43.06,19.88,0.00,-0.12,-0.06,2128"
RFM,CIDCO,2026-09-23 11:37:43.318141+00:00,"RFM_0010,RTCERR,-1.22,-0.73,-9.67,29.25,15.50,2.75,1.00,0.38,0.12,23"
RFM,CIDCO,2026-09-23 11:37:44.757211+00:00,"RFM_0010,RTCERR,-1.22,-0.73,-9.67,29.25,15.50,2.75,1.00,0.38,0.12,23"
RFM,CIDCO,2026-09-23 11:37:46.180876+00:00,"RFM_0004,23/09/2026,17:07:40,1.01,-0.14,-9.74,12.56,42.56,20.38,0.00,-0.06,0.00,2129"
RFM,CIDCO,2026-09-23 11:37:47.524480+00:00,"RFM_0004,23/09/2026,17:07:40,1.01,-0.14,-9.74,12.56,42.56,20.38,0.00,-0.06,0.00,2129"
RFM,CIDCO,2026-09-23 11:37:50.996872+00:00,"RFM_0006,23/09/2026,17:07:01,0.41,-3.27,-9.21,-34.75,-31.06,1.19,0.00,-0.12,0.00,582"
RFM,CIDCO,2026-09-23 11:37:53.248229+00:00,"RFM_0010,RTCERR,-1.22,-0.71,-9.67,49.56,25.75,3.75,0.31,0.06,0.06,24"
RFM,CIDCO,2026-09-23 11:37:54.270751+00:00,"RFM_0010,RTCERR,-1.22,-0.71,-9.67,49.56,25.75,3.75,0.31,0.06,0.06,24"
RFM,CIDCO,2026-09-23 11:37:56.222085+00:00,"RFM_0004,23/09/2026,17:07:50,1.02,-0.18,-9.78,12.56,43.38,21.00,0.12,-0.25,0.06,2130"
RFM,CIDCO,2026-09-23 11:37:57.162170+00:00,"RFM_0004,23/09/2026,17:07:50,1.02,-0.18,-9.78,12.56,43.38,21.00,0.12,-0.25,0.06,2130"
